content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
"'AAAI-10 is the Twenty-Fourth AAAI Conference on Artificial Intelligence (AI). The purpose of this conference is to promote research in AI and scientific exchange among AI researchers, practitioners, scientists, and engineers in related disciplines. AAAI-10 will have multiple technical tracks, student abstracts, poster sessions, invited speakers, and exhibit programs, all selected according to the highest reviewing standards.",'1-2-2-1-2-1-1-2-2-2-1,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,N
'AAAI-10 welcomes submissions on mainstream AI topics as well as novel cross-cutting work in related areas. Topics include but are not limited to the following:,'1-2-2-1-2-1-1-2-2-2-2,1,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,1,0,1,1,3,C
'Agents,'1-2-2-1-2-1-1-2-2-2-3-1,0,1,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Cognitive modeling and human interaction,'1-2-2-1-2-1-1-2-2-2-3-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Commonsense reasoning,'1-2-2-1-2-1-1-2-2-2-3-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Constraint satisfaction and optimization,'1-2-2-1-2-1-1-2-2-2-3-4,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Evolutionary computation,'1-2-2-1-2-1-1-2-2-2-3-5,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Game playing and interactive entertainment,'1-2-2-1-2-1-1-2-2-2-3-6,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Information integration and extraction,'1-2-2-1-2-1-1-2-2-2-3-7,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Knowledge acquisition and ontologies,'1-2-2-1-2-1-1-2-2-2-3-8,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Knowledge representation and reasoning,'1-2-2-1-2-1-1-2-2-2-3-9,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Machine learning and data mining,'1-2-2-1-2-1-1-2-2-2-3-10,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
'Model-based systems,'1-2-2-1-2-1-1-2-2-2-3-11,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Multiagent systems,'1-2-2-1-2-1-1-2-2-2-3-12,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Natural language processing,'1-2-2-1-2-1-1-2-2-2-3-13,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Planning and scheduling,'1-2-2-1-2-1-1-2-2-2-3-14,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Probabilistic reasoning,'1-2-2-1-2-1-1-2-2-2-3-15,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Robotics,'1-2-2-1-2-1-1-2-2-2-3-16,0,1,0,1,0,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Search,'1-2-2-1-2-1-1-2-2-2-3-17,0,1,0,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Papers that extend the state of the art, and explore parts of the design space of AI that are not well explored are particularly encouraged. A full list of keywords is available.",'1-2-2-1-2-1-1-2-2-2-4,2,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'Special Tracks,'1-2-2-1-2-1-1-2-3-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
"'In addition to its main technical papers track, AAAI-10 will include seven special paper tracks: four for focused topics, one for ideas that have previously been presented elsewhere but not to a general AI audience, one for senior researchers to present broad perspectives and one for presenting new challenges to the AI community.",'1-2-2-1-2-1-1-2-3-2-1,2,0,0,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'The Special Track on Artificial Intelligence and the Web (AIW) focuses on the use and extension of AI techniques, systems, and concepts for the World Wide Web.",'1-2-2-1-2-1-1-2-3-2-2,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'The new Special Track on Artificial Intelligence and Bioinformatics (AIB) focuses on novel AI concepts, techniques, and systems to address current problems in bioinformatics and computational and systems biology.",'1-2-2-1-2-1-1-2-3-2-3,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'The new Special Track on Challenges in AI seeks papers that issue technical challenges relating to artificial intelligence. These can be either a description of a specific technical problem, or of a broader class of problems worthy of attention.",'1-2-2-1-2-1-1-2-3-2-4,2,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'The Special Track on Integrated Intelligence emphasizes research on evaluated approaches and techniques that synergistically combine abilities from distinct areas of AI to achieve intelligent behavior.,'1-2-2-1-2-1-1-2-3-2-5,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'The Special Track Physically Grounded Artificial Intelligence (PGAI) welcomes papers in robotics, vision, activity recognition and other areas of artificial intelligence where computers interface to physical environments.",'1-2-2-1-2-1-1-2-3-2-6,1,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'The AAAI Nectar (New Scientific and Technical Advances in Research) Papers track encourages cross-fertilization of ideas between specific areas of AI and the general AI community, and will consist of papers based on significant AI results presented at sister conferences in the last two years.",'1-2-2-1-2-1-1-2-3-2-7,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,I
"'The Senior Member Presentation Track provides an opportunity for established researchers to give a broad talk on a well-developed body of research, an important new research area, or a thoughtful critique of trends in the field.",'1-2-2-1-2-1-1-2-3-2-8,2,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'The topics relevant to these special tracks, and their submission details, are described in detail in their respective calls for participation. These tracks will be an integral part of the conference program and will be subject to the high standards and rigorous review that are traditional in AAAI. However, each special track will have its own submission process and review criteria, and will have its own program committee of reviewers with appropriate backgrounds.",'1-2-2-1-2-1-1-2-3-2-9,2,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Author Registration,'1-2-2-1-2-1-1-2-4-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Authors must register at the AAAI-10 web-based technical paper submission site. The software will assign a password, which will enable the author to log on to submit an abstract and paper. In order to avoid a rush at the last minute, authors are encouraged to register as soon as possible after December 1, and well in advance of the January 18 abstract deadline.",'1-2-2-1-2-1-1-2-4-2,2,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Abstract and Paper Submission,'1-2-2-1-2-1-1-2-5-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,C
'Electronic abstract and paper submission through the AAAI-10 paper submission site is required on or (preferably) before the deadline dates listed above. We cannot accept submissions by e-mail or fax.,'1-2-2-1-2-1-1-2-5-2-1,2,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,I
"'Papers must be in trouble-free, high resolution PDF format, formatted for US Letter (8.5"" x 11"") paper, using Type 1 or TrueType fonts. Papers may be no longer than 6 pages including references (regular papers) or 2 pages (short papers), and formatted in AAAI two-column, camera-ready style (see the author instructions page). Please note that these formatting instructions are for final, accepted papers; no additional pages can be purchased at the review stage. In addition, the copyright slug may be omitted in the initial submission phase. Please also refer to the instructions on how to prepare your paper for blind review.",'1-2-2-1-2-1-1-2-5-2-2,2,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,N
"'Authors will receive confirmation of receipt of their abstracts or papers, including an ID number, shortly after submission. AAAI will contact authors again only if problems are encountered with papers. Inquiries regarding lost papers must be made no later than January 28, 2010.",'1-2-2-1-2-1-1-2-5-2-3,2,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,3,N
'Short Papers,'1-2-2-1-2-1-1-2-6-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,3,C
'Short papers should only be submitted by junior researchers (the principal author has not published before in a major conference). The same work may not be submitted as a short paper and a full paper to the main technical track or any of the special tracks of the conference.,'1-2-2-1-2-1-1-2-6-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Submissions to Other Conferences or Journals,'1-2-2-1-2-1-1-2-7-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Papers submitted to this conference must not have been accepted for publication elsewhere or be under review for another AI conference. The guidelines of the AAAI policy on multiple submissions are fully detailed below and must be carefully followed.,'1-2-2-1-2-1-1-2-7-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Review Process,'1-2-2-1-2-1-1-2-8-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'Program committee members will identify papers they are qualified to review based on the information submitted electronically (the paper's title, keywords, and abstract). Their reviewing will be done blind to the identities of the authors and their institutions.",'1-2-2-1-2-1-1-2-8-2-1,2,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,I
"'Authors will have a limited opportunity to respond to initial reviews. This author's feedback may then be taken into account in the final reviews and recommendations. The program committee's reviews will make recommendations to the senior program committee, which in turn will make recommendations to the area chairs and program cochairs. The program cochairs will make all final decisions following full consultations during the process.",'1-2-2-1-2-1-1-2-8-2-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,I
'Publication,'1-2-2-1-2-1-1-2-9-1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Accepted regular papers will be allocated six (6) pages in the conference proceedings; up to two (2) additional pages may be used for regular papers at a cost to the authors of $275 per page. Accepted short papers will be allocated two (2) pages in the conference proceedings; up to one (1) additional page may be used for short papers at a cost to the authors of $275. Final papers exceeding page limits and those violating the instructions to authors will not be included in the proceedings. Authors will be required to transfer copyright of their paper to AAAI.,'1-2-2-1-2-1-1-2-9-2-1,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Papers submitted to the Nectar or Senior Member tracks are allocated four (4) pages in the conference proceedings. Please refer to the individual calls for these programs for further details.,'1-2-2-1-2-1-1-2-9-2-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Questions and Suggestions,'1-2-2-1-2-1-1-2-10-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'Concerning author instructions and conference registration, write to:",'1-2-2-1-2-1-1-2-10-2-1,0,0,0,1,0,0,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,C
'aaai10@aaai.org,'1-2-2-1-2-1-1-2-10-2-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,I
"'Concerning suggestions for the program and other inquiries, write to the Program Cochairs.",'1-2-2-1-2-1-1-2-10-2-3,1,0,0,1,0,2,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,2,N
'Program Cochairs,'1-2-2-1-2-1-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,3,C
'Maria Fox,'1-2-2-1-2-1-2-2-1-1-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'(University of Strathclyde, UK)",'1-2-2-1-2-1-2-2-1-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,2,I
'David Poole,'1-2-2-1-2-1-2-2-1-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'(University of British Columbia, Canada)",'1-2-2-1-2-1-2-2-1-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,2,I
"'A complete listing of conference track organizers, area chairs, and senior program committee members is available",'1-2-2-1-2-1-2-2-2,1,0,0,1,0,0,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,2,N
'The AAAI-10 call for papers is also available as a printable PDF document,'1-2-2-1-2-1-2-2-3,1,0,0,1,0,2,1,0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,3,N
'AAAI-10 Policy Concerning Submissions to Other Conferences or Journals,'1-2-2-1-2-1-3-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Papers submitted to this conference must not have been accepted for publication elsewhere or be under review for another AI conference. (The AAAI Nectar and Challenge paper submissions have specific guidelines that can be found in their respective call for papers.),'1-2-2-1-2-1-3-2-1,2,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,N
"'To encourage interdisciplinary contributions, AAAI will consider work that has been submitted or presented in part elsewhere, if it is unlikely to have been seen by more than a few members of the AAAI audience (however, see the exception for Challenge Track papers). As such, papers may not be dually submitted to other AI or AI subarea conferences. Papers under submission to a journal that contain overlap with AAAI papers will be considered as long as the author specifies the dual submission and certifies that the journal submission contains significant material that is not included in the AAAI submission. Papers that have been published in full in another conference or journal will not be accepted for review. Novelty is an important criterion in the selection of papers.",'1-2-2-1-2-1-3-2-2,2,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,3,N
'AAAI requires the following:,'1-2-2-1-2-1-3-2-3,0,0,0,1,0,2,0,2,2,2,1,0,0,1,0,0,0,0,0,0,0,1,1,3,C
'Authors must specify the conferences and journals to which the paper has been dually submitted.,'1-2-2-1-2-2-1,1,1,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Authors must withdraw papers under review or accepted for other AI conference venues if the paper is submitted to AAAI.,'1-2-2-1-2-2-2,1,1,0,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Papers not dually submitted should so indicate on the title page.,'1-2-2-1-2-2-3,1,1,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,I
"'For questions as to whether a given meeting is considered under the dual submission policy, or for clarifications of this policy, submitters should contact the Program Chairs.",'1-2-2-1-2-3,1,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'Terms and Conditions Privacy Policy About AAAI Search Contact AAAI,'1-2-2-2-1-1,1,0,0,0,0,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'AAAI Conferences AI Magazine AI Topics,'1-2-2-2-1-2,0,0,0,0,0,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,N
'Copyright,'1-2-2-2-2,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,N
