content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Founded,'1-1-2-1-2-1-7-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'April 1, 1976 (1976-04-01)",'1-1-2-1-2-1-7-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,I
'Founder(s),'1-1-2-1-2-1-8-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Steve Jobs,'1-1-2-1-2-1-8-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Steve Wozniak,'1-1-2-1-2-1-8-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Ronald Wayne,'1-1-2-1-2-1-8-2-3,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Headquarters,'1-1-2-1-2-1-9-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Apple Campus, 1 Infinite Loop, Cupertino, California",'1-1-2-1-2-1-9-2-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,I
'U.S.,'1-1-2-1-2-1-9-2-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Number of locations,'1-1-2-1-2-1-10-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,C
'406 retail stores (May 2013),'1-1-2-1-2-1-10-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,I
'Area served,'1-1-2-1-2-1-11-1,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'Worldwide,'1-1-2-1-2-1-11-2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Key people,'1-1-2-1-2-1-12-1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,2,C
'Arthur D. Levinson (Chairman),'1-1-2-1-2-1-12-2-1,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,I
'Tim Cook (CEO),'1-1-2-1-2-1-12-2-2,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,I
'Products,'1-1-2-1-2-1-13-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Mac,'1-1-2-1-2-1-13-2-1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'iPod,'1-1-2-1-2-1-13-2-2,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iPhone,'1-1-2-1-2-1-13-2-3,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iPad,'1-1-2-1-2-1-13-2-4,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iPad Mini,'1-1-2-1-2-1-13-2-5,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Apple TV,'1-1-2-1-2-1-13-2-6,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'OS X,'1-1-2-1-2-1-13-2-7,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iLife,'1-1-2-1-2-1-13-2-8,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iWork,'1-1-2-1-2-1-13-2-9,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Services,'1-1-2-1-2-1-14-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,C
'Apple Store,'1-1-2-1-2-1-14-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Apple Store online,'1-1-2-1-2-1-14-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Mac App Store,'1-1-2-1-2-1-14-2-3,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iOS App Store,'1-1-2-1-2-1-14-2-4,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iTunes Store,'1-1-2-1-2-1-14-2-5,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iBooks,'1-1-2-1-2-1-14-2-6,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'iCloud,'1-1-2-1-2-1-14-2-7,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Revenue,'1-1-2-1-2-1-15-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 170.910 billion (2013),'1-1-2-1-2-1-15-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Operating income,'1-1-2-1-2-1-16-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 048.999 billion (2013),'1-1-2-1-2-1-16-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Net income,'1-1-2-1-2-1-17-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 037.037 billion (2013),'1-1-2-1-2-1-17-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Total assets,'1-1-2-1-2-1-18-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'US$ 207.0 billion (2013),'1-1-2-1-2-1-18-2-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'US$ 176.064 billion (2012),'1-1-2-1-2-1-18-2-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Total equity,'1-1-2-1-2-1-19-1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'US$ 123.549 billion (2013),'1-1-2-1-2-1-19-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Employees,'1-1-2-1-2-1-20-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
"'80,000 (2013)",'1-1-2-1-2-1-20-2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Subsidiaries,'1-1-2-1-2-1-21-1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'FileMaker Inc.,'1-1-2-1-2-1-21-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Anobit,'1-1-2-1-2-1-21-2-2,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'Braeburn Capital,'1-1-2-1-2-1-21-2-3,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Website,'1-1-2-1-2-1-22-1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,C
'apple.com,'1-1-2-1-2-1-22-2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
"'Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software and personal computers. Its best-known hardware products are the Mac line of computers, the iPod media player, the iPhone smartphone, and the iPad tablet computer. Its consumer software includes the OS X and iOS operating systems, the iTunes media browser, the Safari web browser, and the iLife and iWork creativity and productivity suites.",'1-1-2-1-2-2-1-1-1-1,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976 to develop and sell personal computers. It was incorporated as Apple Computer, Inc. on January 3, 1977, and was renamed as Apple Inc. on January 9, 2007 to reflect its shifted focus towards consumer electronics.",'1-1-2-1-2-2-1-1-1-2,2,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,2,I
"'Apple is the world's second-largest information technology company by revenue after Samsung Electronics, and the world's third-largest mobile phone maker after Samsung and Nokia. Fortune magazine named Apple the most admired company in the United States in 2008, and in the world from 2008 to 2012. On September 30, 2013, Apple surpassed Coca-Cola to become the world's most valuable brand in the Omnicom Group's ""Best Global Brands"" report. However, the company has received criticism for its contractors' labor practices, and for Apple's own environmental and business practices.",'1-1-2-1-2-2-1-1-1-3,2,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'As of May 2013, Apple maintains 408 retail stores in fourteen countries as well as the online Apple Store and iTunes Store, the latter of which is the world's largest music retailer. Apple is the largest publicly traded corporation in the world by market capitalization, with an estimated market capitalization of $446 billion by January, 2014. As of September 29, 2012, the company had 72,800 permanent full-time employees and 3,300 temporary full-time employees worldwide. Its worldwide annual revenue in 2013 totalled $170 billion. As of Q1 2014, Apple's five-year growth average is 39% for top line growth and 45% for bottom line growth. In May 2013, Apple entered the top ten of the Fortune 500 list of companies for the first time, rising 11 places above its 2012 ranking to take the sixth position.",'1-1-2-1-2-2-1-1-1-4,2,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Contents,'1-1-2-1-2-2-1-1-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'1 History 1.1 1976–80: Founding and incorporation
1.2 1981–89: Success with Macintosh
1.3 1990–99: Decline and restructuring
1.4 2000–06: Return to profitability
1.5 2007–10: Success with mobile devices
1.6 2011–12: Steve Jobs's death
1.7 2013–present: Acquisitions and expansion",'1-1-2-1-2-2-1-1-2-1-2-1,2,0,0,1,0,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
"'2 Products 2.1 Mac
2.2 iPad
2.3 iPod
2.4 iPhone
2.5 Apple TV
2.6 Software",'1-1-2-1-2-2-1-1-2-1-2-2,1,0,0,1,0,2,1,0,0,2,1,0,1,1,1,0,0,0,1,0,0,0,2,I
"'3 Corporate identity 3.1 Logo
3.2 Advertising
3.3 Brand loyalty",'1-1-2-1-2-2-1-1-2-1-2-3,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'4 Corporate affairs 4.1 Headquarters
4.2 Corporate culture 4.2.1 Employee relations

4.3 Litigation
4.4 Finance
4.5 Environmental record 4.5.1 Climate change and clean energy
4.5.2 Toxics

4.6 Labor practices
4.7 Tax practices
4.8 Charitable causes",'1-1-2-1-2-2-1-1-2-1-2-4,1,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'5 See also,'1-1-2-1-2-2-1-1-2-1-2-5,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'6 References,'1-1-2-1-2-2-1-1-2-1-2-6,0,0,0,1,0,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'7 Further reading,'1-1-2-1-2-2-1-1-2-1-2-7,0,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'8 External links,'1-1-2-1-2-2-1-1-2-1-2-8,0,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'History,'1-1-2-1-2-2-1-1-2-2-1-1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,2,C
'Main article: History of Apple Inc.,'1-1-2-1-2-2-1-1-2-2-1-2,0,0,0,1,0,2,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,I
'1976–80: Founding and incorporation,'1-1-2-1-2-2-1-1-2-2-2-1,0,0,0,1,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'Apple was established on April 1, 1976, by Steve Jobs, Steve Wozniak and Ronald Wayne to sell the Apple I personal computer kit, a computer single handedly designed by Wozniak. The kits were hand-built by Wozniak and first shown to the public at the Homebrew Computer Club. The Apple I was sold as a motherboard (with CPU, RAM, and basic textual-video chips), which is less than what is today considered a complete personal computer. The Apple I went on sale in July 1976 and was market-priced at $666.66 ($2,763 in 2014 dollars, adjusted for inflation).",'1-1-2-1-2-2-1-1-2-2-2-2-1,2,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Apple was incorporated January 3, 1977, without Wayne, who sold his share of the company back to Jobs and Wozniak for $800. Multi-millionaire Mike Markkula provided essential business expertise and funding of $250,000 during the incorporation of Apple.",'1-1-2-1-2-2-1-1-2-2-2-2-2,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'During the first five years of operations, revenues doubled every four months, an average growth rate of 700%.",'1-1-2-1-2-2-1-1-2-2-2-2-3,1,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The Apple II, also invented by Wozniak, was introduced on April 16, 1977, at the first West Coast Computer Faire. It differed from its major rivals, the TRS-80 and Commodore PET, due to its character cell-based color graphics and an open architecture. While early models used ordinary cassette tapes as storage devices, they were superseded by the introduction of a 5 1/4 inch floppy disk drive and interface, the Disk II.",'1-1-2-1-2-2-1-1-2-2-2-2-4,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The Apple II was chosen to be the desktop platform for the first ""killer app"" of the business world, VisiCalc, a spreadsheet program. VisiCalc created a business market for the Apple II and gave home users compatibility with the office, an additional reason to buy an Apple II. Apple was a distant third place to Commodore and Tandy until VisiCalc came along.",'1-1-2-1-2-2-1-1-2-2-2-2-5,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'By the end of the 1970s, Apple had a staff of computer designers and a production line. The company introduced the Apple III in May 1980 in an attempt to compete with IBM and Microsoft in the business and corporate computing market.",'1-1-2-1-2-2-1-1-2-2-2-2-6,2,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Jobs and several Apple employees, including Jef Raskin, visited Xerox PARC in December 1979 to see the Xerox Alto. Xerox granted Apple engineers three days of access to the PARC facilities in return for the option to buy 100,000 shares (800,000 split-adjusted shares) of Apple at the pre-IPO price of $10 a share. Jobs was immediately convinced that all future computers would use a graphical user interface (GUI), and development of a GUI began for the Apple Lisa.",'1-1-2-1-2-2-1-1-2-2-2-2-7,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'On December 12, 1980, Apple went public at $22 per share, generating more capital than any IPO since Ford Motor Company in 1956 and instantly creating more millionaires (about 300) than any company in history.",'1-1-2-1-2-2-1-1-2-2-2-2-8,2,0,0,1,0,2,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,2,I
'1981–89: Success with Macintosh,'1-1-2-1-2-2-1-1-2-2-3-1,0,0,0,1,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'See also: Timeline of Macintosh models,'1-1-2-1-2-2-1-1-2-2-3-2-1,0,0,0,1,0,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Apple began working on the Apple Lisa in 1978. In 1982, Jobs was pushed from the Lisa team due to infighting. Jobs took over Jef Raskin's low-cost-computer project, the Macintosh. A race broke out between the Lisa team and the Macintosh team over which product would ship first. Lisa won the race in 1983 and became the first personal computer sold to the public with a GUI, but was a commercial failure due to its high price tag and limited software titles.",'1-1-2-1-2-2-1-1-2-2-3-2-2,2,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'In 1984, Apple next launched the Macintosh. Its debut was announced by the now famous $1.5 million television commercial ""1984"". It was directed by Ridley Scott and was aired during the third quarter of Super Bowl XVIII on January 22, 1984. It is now hailed as a watershed event for Apple's success and a ""masterpiece"".",'1-1-2-1-2-2-1-1-2-2-3-2-3,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The Macintosh initially sold well, but follow-up sales were not strong due to its high price and limited range of software titles. The Macintosh was the first personal computer to be sold without a programming language at all.",'1-1-2-1-2-2-1-1-2-2-3-2-4,2,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The machine's fortunes changed with the introduction of the LaserWriter, the first PostScript laser printer to be sold at a reasonable price, and PageMaker, an early desktop publishing package. It has been suggested that the combination of these three products was responsible for the creation of the desktop publishing market. The Mac was particularly powerful in the desktop publishing market due to its advanced graphics capabilities, which had necessarily been built in to create the intuitive Macintosh GUI.",'1-1-2-1-2-2-1-1-2-2-3-2-5,2,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'In 1985 a power struggle developed between Jobs and CEO John Sculley, who had been hired two years earlier. The Apple board of directors instructed Sculley to ""contain"" Jobs and limit his ability to launch expensive forays into untested products. Rather than submit to Sculley's direction, Jobs attempted to oust him from his leadership role at Apple. Sculley found out that Jobs had been attempting to organize a coup and called a board meeting at which Apple's board of directors sided with Sculley and removed Jobs from his managerial duties. Jobs resigned from Apple and founded NeXT Inc. the same year.",'1-1-2-1-2-2-1-1-2-2-3-2-6,2,0,0,1,0,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The Macintosh Portable was introduced in 1989 and was designed to be just as powerful as a desktop Macintosh, but weighed a bulky 7.5 kilograms (17 lb) with a 12-hour battery life. After the Macintosh Portable, Apple introduced the PowerBook in 1991. The same year, Apple introduced System 7, a major upgrade to the operating system which added color to the interface and introduced new networking capabilities. It remained the architectural basis for Mac OS until 2001.",'1-1-2-1-2-2-1-1-2-2-3-2-7,2,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'The success of the PowerBook and other products brought increasing revenue. For some time, Apple was doing incredibly well, introducing fresh new products and generating increasing profits in the process. The magazine MacAddict named the period between 1989 and 1991 as the ""first golden age"" of the Macintosh.",'1-1-2-1-2-2-1-1-2-2-3-2-8,2,0,0,1,0,0,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,2,I
"'Following the success of the Macintosh LC, Apple introduced the Centris line, a low-end Quadra, and the ill-fated Performa line that was sold with an overwhelming number of configurations and software bundles to avoid competing with the various consumer outlets such as Sears, Price Club, and Wal-Mart (the primary dealers for these models). Consumers ended up confused and did not understand the difference between models.",'1-1-2-1-2-2-1-1-2-2-3-2-9,2,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'1990–99: Decline and restructuring,'1-1-2-1-2-2-1-1-2-2-4-1,0,0,0,1,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'See also: Timeline of Apple II family,'1-1-2-1-2-2-1-1-2-2-4-2-1,0,0,0,1,0,2,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
"'During this time Apple experimented with a number of other failed consumer targeted products including digital cameras, portable CD audio players, speakers, video consoles, and TV appliances. Enormous resources were also invested in the problem-plagued Newton division based on John Sculley's unrealistic market forecasts. Ultimately, none of these products helped, as Apple's market share and stock prices continued to slide.",'1-1-2-1-2-2-1-1-2-2-4-2-2,2,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Apple saw the Apple II series as too expensive to produce, while taking away sales from the low-end Macintosh. In 1990, Apple released the Macintosh LC with a single expansion slot for the Apple IIe Card to migrate Apple II users to the Macintosh platform. Apple stopped selling the Apple IIe in 1993.",'1-1-2-1-2-2-1-1-2-2-4-2-3,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Microsoft continued to gain market share with Windows focusing on delivering software to cheap commodity personal computers while Apple was delivering a richly engineered, but expensive, experience. Apple relied on high profit margins and never developed a clear response. Instead, they sued Microsoft for using a graphical user interface similar to the Apple Lisa in Apple Computer, Inc. v. Microsoft Corporation. The lawsuit dragged on for years before it was finally dismissed. At the same time, a series of major product flops and missed deadlines sullied Apple's reputation, and Sculley was replaced as CEO by Michael Spindler.",'1-1-2-1-2-2-1-1-2-2-4-2-4,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'By the early 1990s, Apple was developing alternative platforms to the Macintosh, such as the A/UX. Apple had also begun to experiment in providing a Mac-only online portal which they called eWorld, developed in collaboration with America Online and designed as a Mac-friendly alternative to other online services such as CompuServe. The Macintosh platform was itself becoming outdated because it was not built for multitasking, and several important software routines were programmed directly into the hardware. In addition, Apple was facing competition from OS/2 and UNIX vendors such as Sun Microsystems. The Macintosh would need to be replaced by a new platform, or reworked to run on more powerful hardware.",'1-1-2-1-2-2-1-1-2-2-4-2-5,2,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'In 1994, Apple allied with IBM and Motorola in the AIM alliance. The goal was to create a new computing platform (the PowerPC Reference Platform), which would use IBM and Motorola hardware coupled with Apple's software. The AIM alliance hoped that PReP's performance and Apple's software would leave the PC far behind, thus countering Microsoft. The same year, Apple introduced the Power Macintosh, the first of many Apple computers to use Motorola's PowerPC processor.",'1-1-2-1-2-2-1-1-2-2-4-2-6,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'In 1996, Michael Spindler was replaced by Gil Amelio as CEO. Gil Amelio made many changes at Apple, including extensive layoffs. After numerous failed attempts to improve Mac OS, first with the Taligent project, then later with Copland and Gershwin, Amelio chose to purchase NeXT and its NeXTSTEP operating system, bringing Steve Jobs back to Apple as an advisor. On July 9, 1997, Amelio was ousted by the board of directors after overseeing a three-year record-low stock price and crippling financial losses. Jobs acted as the interim CEO and began restructuring the company's product line; it was during this period that Jobs identified Jonathan Ive's design talent and the pair worked collaboratively to rebuild Apple's status.",'1-1-2-1-2-2-1-1-2-2-4-2-7,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'At the 1997 Macworld Expo, Jobs announced that Apple would join Microsoft to release new versions of Microsoft Office for the Macintosh, and that Microsoft had made a $150 million investment in non-voting Apple stock. On November 10, 1997, Apple introduced the Apple Online Store, tied to a new build-to-order manufacturing strategy.",'1-1-2-1-2-2-1-1-2-2-4-2-8,2,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'On August 15, 1998, Apple introduced a new all-in-one computer reminiscent of the Macintosh 128K: the iMac. The iMac design team was led by Ive, who would later design the iPod and the iPhone. The iMac featured modern technology and a unique design, and sold almost 800,000 units in its first five months.",'1-1-2-1-2-2-1-1-2-2-4-2-9,2,0,0,1,0,0,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Through this period, Apple purchased several companies to create a portfolio of professional and consumer-oriented digital production software. In 1998, Apple announced the purchase of Macromedia's Final Cut software, signaling its expansion into the digital video editing market. The following year, Apple released two video editing products: iMovie for consumers and, for professionals, Final Cut Pro, which has gone on to be a significant video-editing program, with 800,000 registered users in early 2007. In 2002, Apple purchased Nothing Real for their advanced digital compositing application Shake, as well as Emagic for their music productivity application Logic, which led to the development of their consumer-level GarageBand application. iPhoto's release the same year completed the iLife suite.",'1-1-2-1-2-2-1-1-2-2-4-2-10,2,0,0,1,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'2000–06: Return to profitability,'1-1-2-1-2-2-1-1-2-2-5-1,0,0,0,1,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Main article: Apple's transition to Intel processors,'1-1-2-1-2-2-1-1-2-2-5-2-1,0,0,0,1,0,2,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,I
